caso;organizacion;encargado_eq_acap;sector;ori_ppal;ori_potencia;numero_est_totales;turno;inicio;area;escuela;ref_territorial;ref_escolar;tel_ref_escolar;
1;Secretaria Legal y Tecnica;;Políticas públicas;Ciencias Naturales;Ciencias Sociales y Humanidades;321;Turno Vespertino;23 may. 2024;DEM;Liceo Nº 12 DE 08 Fray Mamerto Esquiú;NO VISIBLE;;;
2;Kainos SAU Argentina;;Productivo;Informática;Comunicación;30;Turno Mañana;6 jun. 2023;PRIV;;NO VISIBLE;;;
3;Hammar;;Sociocomunitario;Ciencias Sociales y Humanidades;Educación;30;Turno Tarde;;;Liceo Nº 12 DE 08 Fray Mamerto Esquiú;NO VISIBLE;;;
4;POWERCHINA Ltd. Sucursal Argentina;;Productivo;Economía y administración;Comunicación;30;Turno Tarde;18 sept. 2023;;;NO VISIBLE;;;
5;Dirección General de Áreas de Conservación;;Políticas públicas;Ciencias Sociales y Humanidades;Agro y ambiente;30;Turno Mañana;;;;2024NO participa;;;
6;Automoviles San Jorge;;Productivo;Economía y administración;Informática;30;Turno Tarde;14 ago. 2023;;;2024;;;
7;ECOPARQUE;;Políticas públicas;Agro y ambiente;Ciencias Naturales;30;Turno Mañana;27 mar. 2023;DEM;EEM 5 DE 10;NO VISIBLE;Juana Marconi;juana@mail.com;1144077178
8;OSDE - Organización de Servicios Directos Empresarios;;Productivo;Ciencias Sociales y Humanidades;;;Turno Mañana;;;;2024;;;
9;Wyndham Hoteles;;Productivo;Turismo;;;Turno Mañana;;;;2024;;;
10;Radio de la Ciudad LS1 - Sec. Medios y Prensa;;Políticas públicas;Comunicación;;;Turno Mañana;;;;2024Participa;;;
11;Radio de la Ciudad LS1 - Sec. Medios y Prensa;;Políticas públicas;Comunicación;;;Turno Tarde;;;;2024Participa;;;
12;Villán;;Académico;Turismo;;120;Turno Tarde;;;;NO VISIBLE;;;
13;Bermúdez;;Productivo;Economía y administración;Ciencias Sociales y Humanidades;40;Turno Tarde;8 abr. 2024;;;NO VISIBLE;;;
14;Rodriguez;;Sociocomunitario;Arte - Artes visuales;Arte;20;Turno Mañana;;;;NO VISIBLE;;;
15;Instituto Superior Perito Moreno;;Académico;Turismo;;30;Turno Tarde;;;;2024;;;
16;Instituto Superior Perito Moreno;;Académico;Turismo;;30;Turno Tarde;;;;2024;;;
17;Instituto Superior Perito Moreno;;Académico;Turismo;;30;Turno Tarde;;;;2024;;;
18;Instituto Superior Perito Moreno;;Académico;Turismo;;30;Turno Tarde;;;;2024;;;
19;Smart Market;;Productivo;Economía y Administración;;30;Turno Mañana;;;;2024;;;
20;Instituto Superior del Profesorado en Educación Especial;;Académico;Educación;;30;Turno Mañana;13 may. 2024;;;2024;;;
21;Instituto Superior del Profesorado en Educación Especial;;Académico;Educación;;30;Turno Mañana;9 sept. 2024;;;2024;;;
22;Sturla Viajes;;Productivo;Turismo;;30;Turno Tarde;15 abr. 2024;;;2024;;;
23;Fundación Mecenas;;Sociocomunitario;Arte - Artes visuales;;20;Turno Mañana;;;;2024;;;
24;ECOPARQUE;;Políticas públicas;Ciencias Naturales;Agro y ambiente;30;Turno Mañana;;;;2024;;;
25;UBA - Facultad de Farmacia y Bioquímica;;Académico;Ciencias Naturales;Ciencias Naturales;70;Turno Mixto;8 jul. 2024;;;2024;;;
26;Mejores Hospitales S.A;;Productivo;Economía y administración;Economía y Administración;30;Turno Tarde;6 may. 2024;;;2024;;;
27;Dirección Biblioteca del Docente (Subsecretaría de Coordinación Pedagó;;Políticas públicas;Informática;Informática;30;Turno Mañana;18 mar. 2024;;;2024;;;
28;Dirección Biblioteca del Docente (Subsecretaría de Coordinación Pedagó;;Políticas públicas;Comunicación;Comunicación;30;Turno Mañana;18 mar. 2024;;;2024;;;
29;Dirección Biblioteca del Docente (Subsecretaría de Coordinación Pedagó;;Políticas públicas;Literatura;Literatura;30;Turno Mañana;18 mar. 2024;;;2024;;;
30;Dirección Biblioteca del Docente (Subsecretaría de Coordinación Pedagó;;Políticas públicas;Educación;Educación;20;Turno Mañana;9 jun. 2024;;;2024;;;
31;Isef 1 Romero Brest;;Académico;Educación Física;;30;Turno Tarde;;DEM;Esc. de Educación Media Nº 06 DE 05;2024;;;
32;Isef 1 Romero Brest;;Académico;Educación Física;;30;Turno Tarde;;DEM;Esc. de Educación Media Nº 05 DE 15 Mons. Enrique Angelelli;2024;;;
33;UVI TECH S.A.P.I. De C.V. ( KAVAK);;Productivo;Comunicación;;30;;;;;2024;;;
34;Fundación Compromiso - Potrero Digital;;Sociocomunitario;Comunicación;;25;;;;;2024;;;
35;NUEVA ESCUELA DE DISEÑO Y COMUNICACIÓN;;Académico;Arte - Artes visuales;Arte - Artes visuales;30;Turno Mañana;15 abr. 2024;;;2024Participa;;;
36;Kainos SAU Argentina;;Productivo;Informática;Lenguas;30;Turno Mañana;28 may. 2024;;;2024Participa;;;
37;MIAVASA S.A;;Productivo;Economía y administración;Economía y Administración;20;Turno Mañana;15 abr. 2024;;;2024Participa;;;
38;CARP;;Sociocomunitario;Educación Física;;30;Turno Vespertino;;;;2024Participa;;;
39;Ex Huellas de la Escuela -;;Políticas públicas;Ciencias Sociales y Humanidades;Educación;60;;8 abr. 2024;;;2024Participa;;;
40;Indaltec;;Productivo;Economía y administración;;30;Turno Mañana;;;;2024Participa;;;
41;El Estado en Tu Barrio;;Políticas públicas;Economía y administración;Comunicación;30;Turno Mañana;8 abr. 2024;;;Baja;;;
42;River Plate;;Sociocomunitario;Todas;;30;;;;;2024Participa;;;
43;Club Atlético San Lorenzo de Almagro;;Sociocomunitario;Educación Física;;;Turno Vespertino;;;;2024;;;
44;ECOPARQUE;;Políticas públicas;Agro y ambiente;Ciencias Naturales;30;Turno Mañana;8 abr. 2024;;;2024;;;
45;Vivera orgánica Rodrigo Bueno;;Sociocomunitario;Agro y ambiente;Ciencias Naturales;30;Turno Mañana;;;;2024Participa;;;
46;Vivera orgánica Rodrigo Bueno;;Sociocomunitario;Agro y ambiente;Ciencias Naturales;30;Turno Mañana;;;;2024Participa;;;
47;Fundación YFU (Youth for Understanding) Juventud para el entendimiento;;Sociocomunitario;Turismo;Ciencias Sociales y Humanidades;20;Turno Mañana;1 abr. 2024;;;2024;;;
48;Accenture;;Productivo;Informática;Ciencias Sociales y Humanidades;30;Turno Mañana;;;;2024Baja;;;
